Date	Equipment	Parameter	Value	Unit
2021-03-14 00:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	21,000000000	%
2021-03-14 01:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	20,750000000	%
2021-03-14 03:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 03:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 03:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 03:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 04:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 04:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 04:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 04:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 05:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 05:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 05:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 05:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 06:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	22	%
2021-03-14 06:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 06:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 06:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 07:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 07:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 07:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 07:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 08:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 08:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 08:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 08:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 09:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 09:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 09:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 09:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 10:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 10:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 10:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 10:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 11:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 11:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 11:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 11:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	26	%
2021-03-14 12:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	26	%
2021-03-14 12:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	26	%
2021-03-14 12:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	26	%
2021-03-14 12:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	27	%
2021-03-14 13:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	27	%
2021-03-14 13:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	27	%
2021-03-14 13:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	27	%
2021-03-14 13:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	26	%
2021-03-14 14:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	26	%
2021-03-14 14:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	26	%
2021-03-14 14:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 14:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 15:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 15:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 15:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 15:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 16:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 16:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 16:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	26	%
2021-03-14 16:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 17:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	26	%
2021-03-14 17:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 17:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 17:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 18:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 18:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 18:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 18:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 19:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 19:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 19:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 19:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 20:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 20:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	22	%
2021-03-14 20:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	22	%
2021-03-14 20:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 21:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 21:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 21:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 21:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 22:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 22:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 22:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 22:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 23:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 23:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 23:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 23:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 00:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 01:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 03:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 03:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 03:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 03:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 04:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 04:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 04:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 04:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 05:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 05:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 05:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 05:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	3	Lux
2021-03-14 06:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	5	Lux
2021-03-14 06:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	7	Lux
2021-03-14 06:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	6	Lux
2021-03-14 06:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	6	Lux
2021-03-14 07:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	8	Lux
2021-03-14 07:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	10	Lux
2021-03-14 07:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	14	Lux
2021-03-14 07:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	9	Lux
2021-03-14 08:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	12	Lux
2021-03-14 08:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	15	Lux
2021-03-14 08:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	17	Lux
2021-03-14 08:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	19	Lux
2021-03-14 09:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	20	Lux
2021-03-14 09:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	20	Lux
2021-03-14 09:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	20	Lux
2021-03-14 09:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	20	Lux
2021-03-14 10:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	19	Lux
2021-03-14 10:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	12	Lux
2021-03-14 10:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	17	Lux
2021-03-14 10:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	26	Lux
2021-03-14 11:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	12	Lux
2021-03-14 11:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	13	Lux
2021-03-14 11:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	15	Lux
2021-03-14 11:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	20	Lux
2021-03-14 12:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	21	Lux
2021-03-14 12:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	25	Lux
2021-03-14 12:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	43	Lux
2021-03-14 12:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	23	Lux
2021-03-14 13:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	38	Lux
2021-03-14 13:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	41	Lux
2021-03-14 13:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	59	Lux
2021-03-14 13:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	49	Lux
2021-03-14 14:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	34	Lux
2021-03-14 14:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	46	Lux
2021-03-14 14:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	8	Lux
2021-03-14 14:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	10	Lux
2021-03-14 15:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	13	Lux
2021-03-14 15:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 15:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	6	Lux
2021-03-14 15:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	47	Lux
2021-03-14 16:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	19	Lux
2021-03-14 16:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	55	Lux
2021-03-14 16:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	9	Lux
2021-03-14 16:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	54	Lux
2021-03-14 17:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	111	Lux
2021-03-14 17:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	144	Lux
2021-03-14 17:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	177	Lux
2021-03-14 17:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	218	Lux
2021-03-14 18:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	6	Lux
2021-03-14 18:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	9	Lux
2021-03-14 18:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	7	Lux
2021-03-14 18:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	7	Lux
2021-03-14 19:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	6	Lux
2021-03-14 19:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	7	Lux
2021-03-14 19:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	5	Lux
2021-03-14 19:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	6	Lux
2021-03-14 20:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	6	Lux
2021-03-14 20:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	5	Lux
2021-03-14 20:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	6	Lux
2021-03-14 20:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	6	Lux
2021-03-14 21:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	6	Lux
2021-03-14 21:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	6	Lux
2021-03-14 21:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	7	Lux
2021-03-14 21:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	5	Lux
2021-03-14 22:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 22:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 22:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 22:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 23:10:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 23:25:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 23:40:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 23:55:00	5MultiSensor 6 (ZW100)	BRIGHTNESS	0	Lux
2021-03-14 05:45:10	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 06:01:33	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 06:03:05	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 06:20:24	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 06:21:03	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 06:48:04	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 06:48:10	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 07:15:32	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 07:16:48	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 07:21:14	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 07:48:35	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 07:53:43	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 07:54:52	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 08:00:00	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 08:10:59	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 08:15:35	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 11:43:35	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 12:12:23	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 12:16:06	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 12:23:50	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 12:31:42	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 12:36:02	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 12:39:02	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 13:00:18	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 13:04:57	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 13:09:31	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 13:57:28	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 14:01:34	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 15:58:46	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 16:10:36	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 16:14:21	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 16:33:26	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 18:00:18	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 18:08:29	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 18:13:13	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 18:18:49	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 18:34:28	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 18:53:19	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 19:03:57	5MultiSensor 6 (ZW100)	PRESENCE	1	
2021-03-14 19:11:53	5MultiSensor 6 (ZW100)	PRESENCE	0	
2021-03-14 19:18:29	5MultiSensor 6 (ZW100)	PRESENCE	1	
